CGPA CALCULATOR - ANNA UNIVERSITY 2025
Generated on,Thu Sep 17 23:27:19 IST 2026

SEMESTER I
S.No,Code,Subject Name,Credits,Grade,Grade Point,C×GP
,MA25C01,Applied Calculus,4,B+,7.0,28.0
,EN25C01,English Essentials – I,2,S,10.0,20.0
,UC25H01,Heritage of Tamils,1,S,10.0,10.0
,PH25C01,Applied Physics – I,3,S,10.0,30.0
,CY25C01,Applied Chemistry – I,3,S,10.0,30.0
,CS25C01,Computer Programming: C,3,S,10.0,30.0
,CS25C03,Essentials of Computing,3,S,10.0,30.0
,ME25C04,Makerspace,2,S,10.0,20.0
,UC25A01,Life Skills for Engineers – I,1,S,10.0,10.0
,UC25A02,Physical Education – I,1,S,10.0,10.0
Total,,,23,,218.0
GPA,,,9.48

SEMESTER II
S.No,Code,Subject Name,Credits,Grade,Grade Point,C×GP
,MA25C02,Linear Algebra,4,S,10.0,40.0
,EE25C01,Basic Electrical and Electronics Engineering,3,S,10.0,30.0
,CS25C06,Digital Principles and Computer Organization,4,S,10.0,40.0
,UC25H02,Tamils and Technology,1,S,10.0,10.0
,PH25C03,Applied Physics (CSIE) – II,3,B+,7.0,21.0
,CS25C07,Object Oriented Programming,5,S,10.0,50.0
,EN25C02,English Essentials – II,2,S,10.0,20.0
,ME25C05,Re-Engineering for Innovation,2,S,10.0,20.0
,UC25A03,Life Skills for Engineers – II,1,S,10.0,10.0
,UC25A04,Physical Education – II,1,S,10.0,10.0
,UC25F01/F02,Foreign Language,1,S,10.0,10.0
Total,,,27,,261.0
GPA,,,9.67

OVERALL CGPA,9.58
